relative_source_path,cleanup_group,basis,detected_text
2-steel-access-floor-hpl/2-230-thickbox_steel-access-floor-hpl-cn.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.netJ
2-steel-access-floor-hpl/2-230-thickbox_steel-access-floor-hpl.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.netJ
2-steel-access-floor-hpl/2-231-thickbox_steel-access-floor-hpl-cn.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.netJ
2-steel-access-floor-hpl/2-231-thickbox_steel-access-floor-hpl.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.netJ
2-steel-access-floor-hpl/2-233-thickbox_steel-access-floor-hpl-cn.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.net
2-steel-access-floor-hpl/2-233-thickbox_steel-access-floor-hpl.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.net
2-steel-access-floor-hpl/2-234-thickbox_steel-access-floor-hpl-cn.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.net
2-steel-access-floor-hpl/2-234-thickbox_steel-access-floor-hpl.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.net
2-steel-access-floor-hpl/2-235-thickbox_steel-access-floor-hpl-cn.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.net
2-steel-access-floor-hpl/2-235-thickbox_steel-access-floor-hpl.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.net
2-steel-access-floor-hpl/2-275-thickbox_steel-access-floor-hpl-cn.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.net
2-steel-access-floor-hpl/2-275-thickbox_steel-access-floor-hpl.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.net
2-steel-access-floor-hpl/images_01-steel_access_floor-1.png,bottom_url_mask_candidate,OCR detected URL in bottom 15 percent,www.parete.nei
2-steel-access-floor-hpl/images_01-steel_access_floor.png,bottom_url_mask_candidate,OCR detected URL in bottom 15 percent,www.parete.net
24-steel-access-floor-pvc/24-243-thickbox_steel-access-floor-pvc-cn.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.net
24-steel-access-floor-pvc/24-243-thickbox_steel-access-floor-pvc.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.net
24-steel-access-floor-pvc/24-244-thickbox_steel-access-floor-pvc-cn.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.net
24-steel-access-floor-pvc/24-244-thickbox_steel-access-floor-pvc.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.net
24-steel-access-floor-pvc/24-246-thickbox_steel-access-floor-pvc-cn.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.net
24-steel-access-floor-pvc/24-246-thickbox_steel-access-floor-pvc.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.net
24-steel-access-floor-pvc/24-247-thickbox_steel-access-floor-pvc-cn.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.net
24-steel-access-floor-pvc/24-247-thickbox_steel-access-floor-pvc.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.net
24-steel-access-floor-pvc/24-248-thickbox_steel-access-floor-pvc-cn.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.net
24-steel-access-floor-pvc/24-248-thickbox_steel-access-floor-pvc.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.net
24-steel-access-floor-pvc/24-250-thickbox_steel-access-floor-pvc-cn.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.net
24-steel-access-floor-pvc/24-250-thickbox_steel-access-floor-pvc.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.net
25-steel-access-floor-ceramic/25-269-thickbox_steel-access-floor-ceramic.jpg,easy_footer_crop_or_cover,filename template and visual spot check,export@parete.netJ
